Company Name,Full Description,YC Page,Website,LinkedIn URL,Mentions YC S25
Hera,AI Motion Designer,https://www.ycombinator.com/companies/hera-video,https://hera.video/,https://www.linkedin.com/in/peter-tribelhorn-36a967142/,0
Nottelabs,Building infrastructure for reliable web agents,https://www.ycombinator.com/companies/nottelabs,https://www.notte.cc/,https://www.linkedin.com/in/giordano-lucas/,0
Pally,Pally is an AI Relationship Management Platform,https://www.ycombinator.com/companies/pally,https://pally.com,https://linkedin.com/in/hazhubble,0
Locata,AI referral management for Primary Care Practices,https://www.ycombinator.com/companies/locata,https://www.locatahealth.com/,https://www.linkedin.com/in/joshua-r-chang/,0
Convexia,The world's first AI-maximalist pharma company,https://www.ycombinator.com/companies/convexia,https://convexia.bio,https://www.linkedin.com/in/ayaan-parikh,0
SigmanticAI,Suite of AI Agents and Tools to Accelerate HDL Design,https://www.ycombinator.com/companies/sigmanticai,https://www.sigmanticai.com,https://www.linkedin.com/in/rohil-khare/,0
Opennote,The Interactive AI Tutor That Knows You,https://www.ycombinator.com/companies/opennote,https://opennote.com,https://linkedin.com/in/abhiaarya,1
Sira,AI HR manager for hourly teams,https://www.ycombinator.com/companies/sira,https://sira.team,https://www.linkedin.com/in/nathan-belaye-931005149/,0
F4,Automating compliance checks for engineering drawings,https://www.ycombinator.com/companies/f4,https://f4.dev/,https://www.linkedin.com/in/aidan-cantu/,1
Altur,AI agents for debt collection and sales,https://www.ycombinator.com/companies/altur,https://altur.io,https://www.linkedin.com/in/pedrofdzl,1
PARES AI,Helping commercial real estate brokers find and close more deals.,https://www.ycombinator.com/companies/pares-ai,https://www.pares.ai/,https://www.linkedin.com/in/kaipatragnoni/,1
Avelis Health,We audit medical claims for self-insured employers and health plans.,https://www.ycombinator.com/companies/avelis-health,https://avelishealth.com,https://www.linkedin.com/in/angel-onuoha/,1
Humoniq,Voice AI agents for customer support in travel,https://www.ycombinator.com/companies/humoniq,https://humoniq.ai,https://www.linkedin.com/in/tomaszniedzwiecki/,1
Idler,"AI employees that handle the work, so people can do the magic.",https://www.ycombinator.com/companies/idler,https://idler.ai/,https://www.linkedin.com/in/ivanchub/,1
Floot,The easiest and most powerful AI app builder.,https://www.ycombinator.com/companies/floot,https://floot.com,https://www.linkedin.com/in/edwlk/,1
Observee,Access 1000+ MCP integrations with a single API,https://www.ycombinator.com/companies/observee,https://observee.com/,https://www.linkedin.com/in/risos8200/,0
Socratix AI,AI coworkers for fraud and risk teams.,https://www.ycombinator.com/companies/socratix-ai,https://getsocratix.ai,https://www.linkedin.com/in/riya-jagetia/,0
Omnara,The command center for your AI agents,https://www.ycombinator.com/companies/omnara,https://omnara.com,https://www.linkedin.com/in/kartiksarangmath/,0
Autosana,QA agent for mobile apps,https://www.ycombinator.com/companies/autosana,https://autosana.ai,https://www.linkedin.com/in/jason-steinberg-6018261b6/,0
April,Voice AI Executive Assistant,https://www.ycombinator.com/companies/april,https://tryapril.com,https://linkedin.com/in/nehasuresh1904,0
Finto,AI accounting for enterprises,https://www.ycombinator.com/companies/finto-de,https://www.gofinto.com/,https://www.linkedin.com/in/jonasmorgner/,0
Motives,Qualitative consumer research run by AI,https://www.ycombinator.com/companies/motives,https://motives.ai/,https://www.linkedin.com/in/sean-conley-397b69b8/,0
mcp-use,Open-source dev tools and infrastructure for MCP.,https://www.ycombinator.com/companies/mcp-use,https://mcp-use.com,https://linkedin.com/in/pietrozullo,0
Novaflow,Automating data analysis for life science researchers,https://www.ycombinator.com/companies/novaflow,https://www.novaflowapp.com/,https://www.linkedin.com/in/aman-agarwal-ca,0
Perseus Defense,Guided micro-missiles for Counter-UAS.,https://www.ycombinator.com/companies/perseus-defense,https://perseusdefense.ai,https://www.linkedin.com/in/jason-k-cornelius/,0
Phases,"Automating clinical trials with agents, starting in recruitment",https://www.ycombinator.com/companies/phases,https://phases.ai,https://www.linkedin.com/in/j-m-wall/,0
Summon,Open-Source Postman for MCP servers,https://www.ycombinator.com/companies/summon,https://trysummon.com,https://www.linkedin.com/in/danconstantini/,0
Riff,Cursor for music production,https://www.ycombinator.com/companies/riff,https://goriff.com/,https://www.linkedin.com/in/adithreddi/,0
Mohi,Analyze and understand complex agent workflows with clarity.,https://www.ycombinator.com/companies/mohi,https://trymohi.com/,https://www.linkedin.com/in/evanseeyave,0
Mimos,Helping regulated firms show up in AI search.,https://www.ycombinator.com/companies/mimos,https://www.mimos-ai.com/,https://www.linkedin.com/in/michael-korovkin/,0
Nozomio,"Engineers for AI era, starting with contextual layer for coding agents",https://www.ycombinator.com/companies/nozomio,https://www.nozomio.com/,https://www.linkedin.com/in/arlan-rakhmetzhanov/,0
VibeFlow,Prompt to full stack app with visual workflows,https://www.ycombinator.com/companies/vibeflow,https://vibeflow.ai/,https://www.linkedin.com/in/alepacca,0
Comena,AI agents for distributors and manufacturers to automate order entry.,https://www.ycombinator.com/companies/comena,https://comena.ai,https://www.linkedin.com/in/almo-sutedjo/,0
GhostEye,The AI-powered human pentesting platform,https://www.ycombinator.com/companies/ghosteye,https://ghosteye.ai,https://www.linkedin.com/in/moheshan/,1
Channel3,Database of every product on the internet,https://www.ycombinator.com/companies/channel3,https://trychannel3.com,https://linkedin.com/in/george-lawrence-aab0011a6,0
Wisp AI,Wisp AI is an executive assistant for the everyday user.,https://www.ycombinator.com/companies/wisp-ai,https://wispai.app/,https://www.linkedin.com/in/aditya-mahna-b57256325/,0
Embedder,Cursor for Embedded,https://www.ycombinator.com/companies/embedder,https://www.embedder.dev/,https://www.linkedin.com/in/etgibbs/,0
Flai,We Bring Customers to Your Dealership,https://www.ycombinator.com/companies/flai,https://www.useflai.com/,https://www.linkedin.com/in/jfalzugaray/,1
b-12,Developing chemical super intelligence - one agent at a time.…,https://www.ycombinator.com/companies/b-12,https://b12-labs.com/,https://www.linkedin.com/in/andrescmb,0
Parachute,Quality Assurance & Governance Infrastructure for Clinical AI,https://www.ycombinator.com/companies/parachute,https://parachute-ai.com,https://www.linkedin.com/in/aria-vikram/,0
BootLoop,"Firmware in minutes, not months - rigorously tested on real hardware",https://www.ycombinator.com/companies/bootloop,https://bootloop.ai/,https://www.linkedin.com/in/chris-markus/,0
AgentHub,The simulation and evaluation engine for AI agents,https://www.ycombinator.com/companies/agenthub-2,https://www.agenthub.build,https://www.linkedin.com/in/youssefkallel/,0
Dash,ChatGPT with Hands,https://www.ycombinator.com/companies/dash,https://www.usedash.ai/,https://www.linkedin.com/in/pranjali-awasthi-neuro/,0
CareSwift,AI operating system for ambulance agencies,https://www.ycombinator.com/companies/careswift,https://www.careswift.com/,https://www.linkedin.com/in/jpmussalli/,0
Pangolin,Open-source secure gateway to private networks,https://www.ycombinator.com/companies/pangolin,https://digpangolin.com,https://www.linkedin.com/in/miloaschwartz/,0
Kestroll,AI media asset management,https://www.ycombinator.com/companies/kestroll,https://www.kestroll.com/,https://linkedin.com/in/ben-skinner-profile,0
Stockline,AI-native ERP for food wholesalers,https://www.ycombinator.com/companies/stockline,https://stockline.ai,https://www.linkedin.com/in/moncef-djafri-100425247/,0
Magnitude,Automate any browser workflow with a narrated screen recording,https://www.ycombinator.com/companies/magnitude,https://magnitude.run,https://www.linkedin.com/in/t-greenwald/,0
DeepGrove,Frontier Intelligence. On Any Device.,https://www.ycombinator.com/companies/deepgrove,https://,,0
Skope,A modern billing system for AI-native companies.,https://www.ycombinator.com/companies/skope,https://useskope.com,https://www.linkedin.com/in/connor-park24/,0
Alter AI,Secure access control and orchestration platform for agent workflows,https://www.ycombinator.com/companies/alter-ai,https://alterai.dev,https://linkedin.com/in/srikar-d-473390136,0
Imprezia,The World's First AI-Native Ad Network.,https://www.ycombinator.com/companies/imprezia,https://imprezia.ai,https://www.linkedin.com/in/bisheshkhadka,0
Janet AI,The AI-Native Ticket Triage and Management Layer for Jira,https://www.ycombinator.com/companies/tryjanet,https://tryjanet.ai,https://www.linkedin.com/in/adhitsankaran/,0
Cyberdesk,The computer use agent for automating Windows apps,https://www.ycombinator.com/companies/cyberdesk,https://www.cyberdesk.io,https://www.linkedin.com/in/mahmoudalmadi/,0
Herdora,Cursor for CUDA,https://www.ycombinator.com/companies/herdora,https://www.herdora.com,https://linkedin.com/in/emi-andere,0
Orange Slice,AI agents that find you customers who already want to buy,https://www.ycombinator.com/companies/orange-slice,https://orangeslice.ai,https://www.linkedin.com/in/vihaar-nandigala/,0
Monarcha,The AI GIS Platform,https://www.ycombinator.com/companies/monarcha,https://monarcha.ai,https://www.linkedin.com/in/everett-lee-6540b41b3/,0
Sentinel,AI on-call engineer,https://www.ycombinator.com/companies/sentinel,https://yoursentinel.ai,https://www.linkedin.com/in/jacobajit/,0
Verne Robotics,AI software for autonomous robot arms,https://www.ycombinator.com/companies/verne-robotics,https://vernerobotics.com/,https://linkedin.com/in/adityajha21,0
Symbia,We automate clinical trial applications,https://www.ycombinator.com/companies/symbia,https://symbiauto.com,https://www.linkedin.com/in/ashley-mo/,0
Pond,Superhuman for text messages,https://www.ycombinator.com/companies/pond,https://trypond.ai,https://linkedin.com/in/aagam-dalal,0
Golpo,Most Powerful AI Video Gen Model for Explainer Videos From Documents,https://www.ycombinator.com/companies/golpo,https://video.golpoai.com/,https://www.linkedin.com/in/shreyas-kar/,0
Async,A team of coding agents in your pocket,https://www.ycombinator.com/companies/async,https://www.async.build/,https://www.linkedin.com/in/pybae,0
Lanesurf,Voice AI for booking freight,https://www.ycombinator.com/companies/lanesurf,https://www.lanesurf.com/,https://www.linkedin.com/in/bansalpratham/,0
truthsystems,Building the unified governance layer for regulated industries,https://www.ycombinator.com/companies/truthsystems,https://www.truthsystems.ai,https://linkedin.com/in/anh-mac,0
AgentMail,Email Infrastructure for AI Agents,https://www.ycombinator.com/companies/agentmail,https://agentmail.to,https://www.linkedin.com/in/haaaujla/,0
TraceRoot.AI,AI agents automatically fix your production bugs,https://www.ycombinator.com/companies/traceroot-ai,https://traceroot.ai,https://www.linkedin.com/in/xinwei-he-586512134/,1
Halluminate,Data and environments to train computer use AI,https://www.ycombinator.com/companies/halluminate,https://halluminate.ai/,https://linkedin.com/in/wyatt-marshall-a40797198,0
Acrely,"voice ai for realtors that answers, so you can close",https://www.ycombinator.com/companies/acrely,https://www.acrely.ai,https://www.linkedin.com/in/derek-armfield/,0
Closera,AI employees for commercial real estate,https://www.ycombinator.com/companies/closera,https://closera.com,https://www.linkedin.com/in/chinmayspatel/,0
Synthetic Society,Synthetic Agents to Simulate Real Users,https://www.ycombinator.com/companies/synthetic-society,https://syntheticsociety.ai/,https://linkedin.com/in/aaronbchew,0
Cactus,Deploy AI models locally on smartphones.,https://www.ycombinator.com/companies/cactus,https://www.cactuscompute.com/,https://linkedin.com/in/henry-ndubuaku-7b6350b8,0
Nixo,The modern Zendesk for scaling high-touch customer support,https://www.ycombinator.com/companies/nixo,https://withnixo.com/,https://www.linkedin.com/in/priya-khandelwal-86b84018b/,0
Veritus Agent,AI agents for loan servicing and collections,https://www.ycombinator.com/companies/veritus-agent,http://veritusagent.ai,https://www.linkedin.com/in/joshuamarch/,0
Anytrace,The AI support engineering agent,https://www.ycombinator.com/companies/anytrace,http://anytrace.ai/,https://www.linkedin.com/in/sam-goldman/,0
Risely AI,AI teammates that automate university admin tasks across campus,https://www.ycombinator.com/companies/risely-ai,https://www.risely.ai/,https://www.linkedin.com/in/shahryarabbasi/,0
Albacore Inc.,Autonomous undersea vehicles to deter maritime invasions.,https://www.ycombinator.com/companies/albacore-inc,https://www.albacore.inc,https://www.linkedin.com/in/john-huddleston-3584121b7/,0
DeepAware AI,Make AI data centers more efficient.,https://www.ycombinator.com/companies/deepaware-ai,https://deepawareai.com/,https://www.linkedin.com/in/jerryh01/,0
MangoDesk,We improve AI models by sourcing domain experts for data and evals.,https://www.ycombinator.com/companies/mangodesk,https://www.mangodesk.com/,https://www.linkedin.com/in/ams29,0
Pingo AI,AI companion that helps you learn languages,https://www.ycombinator.com/companies/pingo-ai,https://mypingoai.com,https://www.linkedin.com/in/michael-xing-04216821a/,0
